S.No.;State Code;State Name (In English);District Code;District Name (In English);Sub-District Code;Sub-District Name (In English);Village Code;Village Version;Village Name (In Englsih);Village Name (In Local);Village Status;Census 2001 Code;Census 2011 Code
1;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;913812;1;Alappuzha West;ആലപ്പുഴ പടിഞ്ഞാറ്;Inhabitant;;000000
2;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628229;2;Ambalappuzha;അമ്പലപ്പുഴ;Inhabitant;00105700;628229
3;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;916074;1;Ambalappuzha North;അമ്പലപ്പുഴ നോർത്ത്;Inhabitant;;000000
4;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628227;1;Aryad South  (Part);ആര്യാട്;Inhabitant;00105500;628227
5;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628226;1;Kalavoor;കലവൂർ;Inhabitant;00105300;628226
6;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628230;1;Karumady;കരുമാടി;Inhabitant;00105800;628230
7;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628234;1;Komalapuram (CT);കോമളപുരം;Inhabitant;41107000;628234
8;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628232;1;Mannanchery (CT);മണ്ണഞ്ചേരി;Inhabitant;00105200;628232
9;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628228;1;Mullakkal (Part);മുല്ലയ്ക്കൽ;Inhabitant;00105600;628228
10;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;913811;1;Paravoor;പറവൂർ;Inhabitant;;000000
11;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628233;1;Pathirappally (CT);പാതിരപ്പള്ളി;Inhabitant;00105400;628233
12;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;913813;1;Pazhaveedu;പഴവീട്;Inhabitant;;000000
13;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628235;1;Punnapra (OG);പുന്നപ്ര;Inhabitant;41108000;628235
14;32;KERALA;554;ALAPPUZHA;5674;Ambalappuzha;628231;1;Purakkad;പുറക്കാട്;Inhabitant;00105900;628231
15;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628272;1;Ala (Part);ആല;Inhabitant;00109800;628272
16;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628270;1;Chengannur  (Part);ചെങ്ങന്നൂർ;Inhabitant;00109600;628270
17;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628274;1;Cheriyanad;ചെറിയനാട്;Inhabitant;00110000;628274
18;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628267;1;Ennakkad;എണ്ണയ്ക്കാട്;Inhabitant;00109300;628267
19;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628277;1;Kurattissery (CT);കുരട്ടിശ്ശേരി;Inhabitant;00109100;628277
20;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628276;1;Mannar (CT);മാന്നാർ;Inhabitant;00109200;628276
21;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628271;1;Mulakuzha (Part);മുളക്കുഴ;Inhabitant;00109700;628271
22;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628268;1;Pandanad (Part);പാണ്ടനാട്;Inhabitant;00109400;628268
23;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628273;1;Puliyoor(Part);പുലിയൂർ;Inhabitant;00109900;628273
24;32;KERALA;554;ALAPPUZHA;5677;Chengannur;628269;1;Thiruvanvandoor;തിരുവൻവണ്ടൂർ;Inhabitant;00109500;628269
